on_part,marks_the_position_of,layout_line
P01/P02,"P03 Rueckwand Wand 2, inner face",line parallel to the wall-2 edge at 18 mm
P01/P02,"P04 Rueckwand Wand 1, inner face",line parallel to the wall-1 edge at 18 mm
P01/P02,"P05 Seitenwange Wand 1, inner face","line parallel to the wall-2 edge, at x=947 mm along the wall-1 edge"
P01/P02,"P06 Seitenwange Wand 2, inner face","line parallel to the wall-1 edge, at y=947 mm along the wall-2 edge"
P01/P02,P07/P09 centre partition,"the bisector of the 90 deg corner (the 45 deg diagonal through the origin); partition faces 9 mm either side of it, running 450 mm back from the front edge"
P08 mid shelf,P09 upper centre partition,bisector of the 90 deg corner; faces 9 mm either side
P03,"shelf bearer L01, top edge",y = 423 mm from the bottom edge
P04,"shelf bearer L02, top edge",y = 423 mm from the bottom edge
P05/P06,"shelf bearer L03, top edge",y = 423 mm from the bottom edge
