region,x_mm,half_width_mm,half_height_mm,width_slope,height_slope,width_second,height_second
nose,-26.0,12.5,12.5,0.16701977537649954,0.19534717417750405,0.0,0.0
nose,-24.1,12.817219468400522,12.870871920221015,0.16683329408992922,0.19489289409922778,-0.00019629609112663523,-0.00047818955608029006
nose,-22.2,13.133730307912076,13.240017576144583,0.16627385023021832,0.19353005386439895,-0.00039259218225327084,-0.000956379112160581
nose,-20.3,13.448823889645695,13.605710703473248,0.16534144379736682,0.19125865347301757,-0.000588888273379906,-0.001434568668240871
nose,-18.4,13.761791584712414,13.966225037909565,0.1640360747913747,0.18807869292508364,-0.0007851843645065417,-0.001912758224321162
nose,-16.5,14.071924764223263,14.319834315156083,0.16235774321224195,0.18399017222059716,-0.0009814804556331769,-0.0023909477804014523
nose,-14.6,14.378514799289277,14.664812270915352,0.1603064490599686,0.17899309135955813,-0.0011777765467598123,-0.0028691373364817425
nose,-12.7,14.681131589070885,14.999823817201662,0.1586151608856007,0.17411686168865215,-8.816289920916733e-05,-0.0015413420738153764
nose,-10.8,14.983512637615801,15.329387022693863,0.16029719384343868,0.17359350763314219,0.0018587239074596622,0.0009904430680154233
nose,-8.899999999999999,15.292603679466641,15.662525727661606,0.16567831173394743,0.17788054534711076,0.003805610714128495,0.0035222282098462286
nose,-7.0,15.615432975995493,16.008379676466888,0.17475851455712696,0.18697797483055784,0.005752497520797325,0.006054013351677029
nose,-5.100000000000001,15.959028788574418,16.376088613471726,0.18753780231297726,0.20088579608348345,0.007699384327466154,0.008585798493507829
nose,-3.1999999999999993,16.3304193785755,16.774792283038128,0.20401617500149838,0.21960400910588762,0.00964627113413499,0.011117583635338634
nose,-1.3000000000000007,16.736633007370802,17.213630429528102,0.2241936326226902,0.24313261389777024,0.011593157940803817,0.013649368777169433
nose,0.6000000000000014,17.18448080057036,17.701481996248685,0.24721306032634796,0.2704421326105493,0.011284479352196565,0.013472001685889237
nose,2.5,17.67233273103442,18.237087285494788,0.2651461457480761,0.29200989514483944,0.007592452670675168,0.009230906244942518
nose,4.399999999999999,18.18759341563962,18.80601614628514,0.27606438047491355,0.3055195763413308,0.00390042598915377,0.004989810803995799
nose,6.299999999999997,18.716934638065663,19.39295822407791,0.2799677645068604,0.31097117620002346,0.00020839930763237417,0.0007487153630490809
nose,8.200000000000003,19.247028181992256,19.982603164331284,0.2768562978439166,0.3083646947209173,-0.0034836273738890373,-0.003492380077897657
nose,10.100000000000001,19.764545831099113,20.559640612503454,0.2667299804860821,0.2977001319040124,-0.0071756540554104315,-0.007733475518844373
nose,12.0,20.256159369065937,21.108760214052595,0.24958881243335695,0.27897748774930875,-0.01086768073693183,-0.011974570959791092
nose,13.899999999999999,20.70854057957244,21.61465161443689,0.22543279368574115,0.25219676225680626,-0.014559707418453225,-0.01621566640073781
nose,15.799999999999997,21.108361246298323,22.06200445911452,0.19426192424323477,0.2173579554265051,-0.01825173409997462,-0.02045676184168453
nose,17.700000000000003,21.4422931529233,22.43550839354367,0.15607620410583745,0.17446106725840488,-0.021943760781496034,-0.024697857282631266
nose,19.6,21.699049006932366,22.722146350678518,0.11490377236293799,0.1280323230735582,-0.020335604450664537,-0.022983393090614854
nose,21.5,21.88242521830899,22.925850091373373,0.07905266588639911,0.08740706259663433,-0.017402402366744837,-0.019780038990357678
nose,23.4,22.002978757141662,23.058147891313034,0.04877464336930765,0.05286817491019909,-0.014469200282825133,-0.0165766848901005
nose,25.299999999999997,22.071298482953345,23.130603858799443,0.02406970481166365,0.024415660014252494,-0.011535998198905436,-0.013373330789843327
nose,27.200000000000003,22.09797325526697,23.154782102134508,0.004937850213466977,0.002049517908794419,-0.008602796114985722,-0.010169976689586139
nose,29.1,22.0935919336055,23.142246729620165,-0.008620920425282168,-0.01423025140617492,-0.00566959403106602,-0.006966622589328963
nose,31.0,22.06874337749188,23.10456184955835,-0.016606607104583872,-0.02442364793065562,-0.0027363919471463196,-0.0037632684890717867
nose,32.9,22.034016446449062,23.053291570250988,-0.019019209824438173,-0.0285306716646477,0.0001968101367733812,-0.000559914388814611
nose,34.8,22.0,23.0,-0.01585872858484503,-0.02655132260815113,0.0031300122206930825,0.0026434397114425646
nose,36.7,21.97528268474472,22.954125087028704,-0.01028339431673544,-0.021842695622144033,0.002738760693106457,0.0023130097475122548
nose,38.599999999999994,21.960452295591544,22.916600139245926,-0.00545143795104049,-0.017761885567604566,0.0023475091655198216,0.001982579783581934
nose,40.5,21.954096414525896,22.88623230448188,-0.0013628594877601243,-0.01430889244453269,0.001956257637933184,0.001652149819651611
nose,42.400000000000006,21.95480262353319,22.861828730566767,0.0019823410731056304,-0.011483716252928426,0.001565006110346546,0.0013217198557212877
nose,44.3,21.961158504598835,22.842196565330816,0.004584163731556752,-0.009286356992791794,0.0011737545827599108,0.000991289891790967
nose,46.2,21.971751639708245,22.82614295660423,0.006442608487593283,-0.007716814664122759,0.000782503055173273,0.0006608599278606439
nose,48.099999999999994,21.985169610846828,22.812475052217223,0.007557675341215194,-0.006775089266921345,0.00039125152758663796,0.0003304299639303232
nose,50.0,22.0,22.8,0.0079293642924225,-0.006461180801187537,0.0,0.0
chain,50.0,22.0,22.8,0.011359126984126916,0.01726190476190467,0.0,0.0
chain,53.6,22.04088392857143,22.862121428571427,0.011351686507936441,0.017244047619047527,-4.133597883597412e-06,-9.920634920634365e-06
chain,57.2,22.081714285714284,22.924114285714285,0.011329365079365016,0.017190476190476103,-8.267195767194824e-06,-1.984126984126873e-05
chain,60.8,22.1224375,22.98585,0.011292162698412638,0.01710119047619039,-1.2400793650792228e-05,-2.9761904761903075e-05
chain,64.4,22.163,23.0472,0.01124007936507931,0.016976190476190398,-1.653439153438965e-05,-3.968253968253746e-05
chain,68.0,22.203348214285715,23.108035714285716,0.011173115079365033,0.016815476190476124,-2.0667989417987052e-05,-4.9603174603171805e-05
chain,71.6,22.24342857142857,23.168228571428568,0.011091269841269805,0.01661904761904756,-2.4801587301584456e-05,-5.952380952380615e-05
chain,75.2,22.283187499999997,23.227649999999997,0.010994543650793625,0.016386904761904717,-2.8935185185181876e-05,-6.944444444444053e-05
chain,78.8,22.32257142857143,23.28617142857143,0.010882936507936494,0.016119047619047592,-3.306878306877928e-05,-7.936507936507488e-05
chain,82.4,22.361526785714283,23.343664285714286,0.010756448412698414,0.01581547619047618,-3.72023809523767e-05,-8.928571428570926e-05
chain,86.0,22.4,23.4,0.010615079365079383,0.015476190476190484,-4.1335978835974104e-05,-9.920634920634361e-05
chain,89.6,22.43799107142857,23.45517857142857,0.010503472222222256,0.01520833333333336,-2.0667989417985436e-05,-4.960317460317026e-05
chain,93.2,22.475714285714286,23.509714285714285,0.010466269841269887,0.015119047619047659,3.3068166260807885e-18,3.279711571768651e-18
chain,96.8,22.5134375,23.564249999999998,0.010503472222222279,0.015208333333333383,2.066798941799198e-05,4.9603174603176636e-05
chain,100.4,22.55142857142857,23.61942857142857,0.01061507936507943,0.01547619047619053,4.1335978835980724e-05,9.920634920635017e-05
chain,104.0,22.58995535714286,23.675892857142856,0.01080109126984134,0.015922619047619102,6.200396825396939e-05,0.00014880952380952352
chain,107.6,22.629285714285714,23.73428571428571,0.01106150793650801,0.0165476190476191,8.267195767195807e-05,0.00019841269841269687
chain,111.2,22.6696875,23.79525,0.011396329365079439,0.01735119047619052,0.00010333994708994681,0.0002480158730158704
chain,114.8,22.71142857142857,23.859428571428573,0.011805555555555626,0.018333333333333368,0.00012400793650793547,0.00029761904761904374
chain,118.4,22.754776785714284,23.927464285714283,0.012289186507936575,0.01949404761904764,0.00014467592592592424,0.00034722222222221725
chain,122.0,22.8,24.0,0.01284722222222228,0.02083333333333333,0.0001653439153439129,0.00039682539682539065
chain,125.6,22.847051785714285,24.076964285714286,0.013217757936507986,0.021755952380952355,4.0509259259257076e-05,0.00011574074074073622
chain,129.2,22.89462857142857,24.15542857142857,0.013138888888888933,0.021666666666666633,-8.432539682539874e-05,-0.00016534391534391815
chain,132.8,22.941112500000003,24.23175,0.01261061507936511,0.020565476190476134,-0.00020916005291005555,-0.0004464285714285748
chain,136.4,22.984885714285717,24.302285714285716,0.011632936507936531,0.018452380952380894,-0.0003339947089947113,-0.0007275132275132292
chain,140.0,23.024330357142862,24.363392857142856,0.010205853174603192,0.015327380952380894,-0.00045882936507936714,-0.0010085978835978836
chain,143.6,23.057828571428573,24.41142857142857,0.008329365079365093,0.01119047619047614,-0.000583664021164023,-0.0012896825396825381
chain,147.2,23.083762500000002,24.44275,0.006003472222222232,0.006041666666666632,-0.0007084986772486789,-0.0015707671957671924
chain,150.8,23.100514285714286,24.453714285714284,0.0032281746031745913,-0.00011904761904767656,-0.0008333333333333356,-0.001851851851851849
chain,154.4,23.10646607142857,24.440678571428567,3.4722222222085403e-06,-0.007291666666666696,-0.0009581679894179913,-0.0021329365079365034
chain,158.0,23.1,24.4,-0.003670634920634937,-0.01547619047619049,-0.0010830026455026472,-0.002414021164021158
chain,161.6,23.080001785714284,24.329164285714285,-0.007374503968253988,-0.02373214285714284,-0.0009747023809523826,-0.0021726190476190426
chain,165.2,23.047371428571427,24.230171428571428,-0.010688492063492084,-0.031119047619047574,-0.000866402116402118,-0.001931216931216927
chain,168.8,23.003512500000003,24.10615,-0.013612599206349246,-0.03763690476190473,-0.0007581018518518528,-0.0016898148148148098
chain,172.4,22.949828571428572,23.96022857142857,-0.016146825396825437,-0.04328571428571423,-0.0006498015873015882,-0.0014484126984126945
chain,176.0,22.887723214285714,23.795535714285716,-0.018291170634920674,-0.04806547619047612,-0.0005415013227513236,-0.001207010582010579
chain,179.6,22.818600000000004,23.6152,-0.020045634920634964,-0.05197619047619039,-0.000433201058201059,-0.0009656084656084635
chain,183.2,22.743862500000002,23.42235,-0.021410218253968296,-0.05501785714285705,-0.00032490079365079453,-0.0007242063492063481
chain,186.8,22.664914285714286,23.22011428571428,-0.022384920634920685,-0.057190476190476104,-0.0002166005291005291,-0.0004828042328042308
chain,190.4,22.58315892857143,23.01162142857143,-0.022969742063492112,-0.05849404761904752,-0.00010830026455026455,-0.0002414021164021154
